asset_id,token_name,as_of_date,price_in_usd
0,ALGO,2022-10-04,0.3555167847264637
0,ALGO,2022-10-05,0.3581013009823488
0,ALGO,2022-10-06,0.3542893674370576
0,ALGO,2022-10-07,0.3494513060802874
0,ALGO,2022-10-08,0.337395808485089
0,ALGO,2022-10-09,0.3347941819069074
0,ALGO,2022-10-10,0.3395482864947217
0,ALGO,2022-10-11,0.3205066761209817
0,ALGO,2022-10-12,0.3179294439570013
0,ALGO,2022-10-13,0.3147767443114218
0,ALGO,2022-10-14,0.3195549386047138
0,ALGO,2022-10-15,0.3179577198776408
0,ALGO,2022-10-16,0.3197014455581928
0,ALGO,2022-10-17,0.3228700544497104
0,ALGO,2022-10-18,0.3312301339612514
0,ALGO,2022-10-19,0.3204096446554501
0,ALGO,2022-10-20,0.3074786171744525
0,ALGO,2022-10-21,0.3072074954671202
0,ALGO,2022-10-22,0.3136027055754187
0,ALGO,2022-10-23,0.3145405099570431
0,ALGO,2022-10-24,0.3163853050797263
0,ALGO,2022-10-25,0.314324331274365
0,ALGO,2022-10-26,0.3313623294985768
0,ALGO,2022-10-27,0.3392347436972459
0,ALGO,2022-10-28,0.3271277253686186
0,ALGO,2022-10-29,0.3332019732803101
0,ALGO,2022-10-30,0.3379154870067146
0,ALGO,2022-10-31,0.3579037798880948
0,ALGO,2022-11-01,0.3580126564116133
0,ALGO,2022-11-02,0.35950259711889
0,ALGO,2022-11-03,0.362177315041512
0,ALGO,2022-11-04,0.3679101266792974
0,ALGO,2022-11-05,0.4125074904045316
0,ALGO,2022-11-06,0.4230918041536299
0,ALGO,2022-11-07,0.4059264374896127
0,ALGO,2022-11-08,0.4181412059415784
0,ALGO,2022-11-09,0.3351027360915392
0,ALGO,2022-11-10,0.2652582064829053
0,ALGO,2022-11-11,0.3233057249772206
0,ALGO,2022-11-12,0.3066597246291017
0,ALGO,2022-11-13,0.276785966525116
0,ALGO,2022-11-14,0.264313577978168
0,ALGO,2022-11-15,0.2627755590282624
0,ALGO,2022-11-16,0.2835391586050692
0,ALGO,2022-11-17,0.2781743566742307
0,ALGO,2022-11-18,0.2699258203753713
0,ALGO,2022-11-19,0.2989167116169358
0,ALGO,2022-11-20,0.3020198701828304
0,ALGO,2022-11-21,0.2587922278595836
0,ALGO,2022-11-22,0.2471704260521393
0,ALGO,2022-11-23,0.2413755527884974
0,ALGO,2022-11-24,0.2484374605956399
0,ALGO,2022-11-25,0.2436891814070401
0,ALGO,2022-11-26,0.2447018583546916
0,ALGO,2022-11-27,0.2419394211034479
0,ALGO,2022-11-28,0.2415570457988703
0,ALGO,2022-11-29,0.2371730106609235
0,ALGO,2022-11-30,0.2409941569947272
0,ALGO,2022-12-01,0.249687352554759
0,ALGO,2022-12-02,0.24171084319784
0,ALGO,2022-12-03,0.2451159205875555
0,ALGO,2022-12-04,0.238629040045055
0,ALGO,2022-12-05,0.2414236377641488
0,ALGO,2022-12-06,0.2374539551227331
0,ALGO,2022-12-07,0.2347396399974251
0,ALGO,2022-12-08,0.2221858859999707
0,ALGO,2022-12-09,0.2253502909445678
0,ALGO,2022-12-10,0.2267842609480772
0,ALGO,2022-12-11,0.2281047519289462
0,ALGO,2022-12-12,0.2239852433671392
0,ALGO,2022-12-13,0.2193217911629133
0,ALGO,2022-12-14,0.2240803347325219
0,ALGO,2022-12-15,0.2217228695705854
0,ALGO,2022-12-16,0.2101415443168317
0,ALGO,2022-12-17,0.1856610460911811
0,ALGO,2022-12-18,0.1956115942820548
0,ALGO,2022-12-19,0.1891928878282623
0,ALGO,2022-12-20,0.174557695752691
0,ALGO,2022-12-21,0.1799983364266147
0,ALGO,2022-12-22,0.1732645533718723
0,ALGO,2022-12-23,0.1723224985825341
0,ALGO,2022-12-24,0.1709999185295686
0,ALGO,2022-12-25,0.1697624433545954
0,ALGO,2022-12-26,0.1662604714052497
0,ALGO,2022-12-27,0.172126555176246
0,ALGO,2022-12-28,0.1706625165423528
0,ALGO,2022-12-29,0.1671682175429363
0,ALGO,2022-12-30,0.1652828856821135
0,ALGO,2022-12-31,0.1693156212136698
0,ALGO,2023-01-01,0.1730190734451435
0,ALGO,2023-01-02,0.177996762587824
0,ALGO,2023-01-03,0.1813827080681118
0,ALGO,2023-01-04,0.1847992646793206
0,ALGO,2023-01-05,0.1875814610723933
0,ALGO,2023-01-06,0.1839755681444816
0,ALGO,2023-01-07,0.190008771082864
0,ALGO,2023-01-08,0.1945495845010861
0,ALGO,2023-01-09,0.1996977853150147
0,ALGO,2023-01-10,0.2010168044110047
0,ALGO,2023-01-11,0.204371989579947
0,ALGO,2023-01-12,0.2106511028594519
0,ALGO,2023-01-13,0.2127087303387531
0,ALGO,2023-01-14,0.2216120603691437
0,ALGO,2023-01-15,0.2296757771131135
0,ALGO,2023-01-16,0.2405878101886706
0,ALGO,2023-01-17,0.2344181114379145
0,ALGO,2023-01-18,0.2301651372521564
0,ALGO,2023-01-19,0.2096098344319466
0,ALGO,2023-01-20,0.2177749502839969
0,ALGO,2023-01-21,0.2402587453398616
0,ALGO,2023-01-22,0.2396171939813775
0,ALGO,2023-01-23,0.2468827942466448
0,ALGO,2023-01-24,0.2506654198596445
0,ALGO,2023-01-25,0.2368441870600925
0,ALGO,2023-01-26,0.2459100974301488
0,ALGO,2023-01-27,0.2460983895494854
0,ALGO,2023-01-28,0.2553473819179172
0,ALGO,2023-01-29,0.2575113649531702
0,ALGO,2023-01-30,0.2625719888484567
0,ALGO,2023-01-31,0.2399272359269245
0,ALGO,2023-02-01,0.2429143976266666
0,ALGO,2023-02-02,0.2513545270021035
0,ALGO,2023-02-03,0.2565192894968035
0,ALGO,2023-02-04,0.2713804818952535
0,ALGO,2023-02-05,0.2675552935633002
0,ALGO,2023-02-06,0.2571820248037616
0,ALGO,2023-02-07,0.2556336079601646
0,ALGO,2023-02-08,0.2791607218347159
0,ALGO,2023-02-09,0.2900070808075397
0,ALGO,2023-02-10,0.2549038626984041
0,ALGO,2023-02-11,0.2521664513070305
0,ALGO,2023-02-12,0.2577919357737831
0,ALGO,2023-02-13,0.2477151970583754
0,ALGO,2023-02-14,0.2452946323657842
0,ALGO,2023-02-15,0.253999683164639
0,ALGO,2023-02-16,0.2732077025405399
0,ALGO,2023-02-17,0.2585816473421699
0,ALGO,2023-02-18,0.2722285702701092
0,ALGO,2023-02-19,0.2738197697498023
0,ALGO,2023-02-20,0.2779641262955112
0,ALGO,2023-02-21,0.2840374262587342
0,ALGO,2023-02-22,0.2779240005297702
0,ALGO,2023-02-23,0.2715455543775886
0,ALGO,2023-02-24,0.2690135050120433
0,ALGO,2023-02-25,0.2573109166940722
0,ALGO,2023-02-26,0.2515666461209548
0,ALGO,2023-02-27,0.2558450201994408
0,ALGO,2023-02-28,0.2558157268673688
0,ALGO,2023-03-01,0.2454389074848572
0,ALGO,2023-03-02,0.2514494681025744
0,ALGO,2023-03-03,0.2426012567743636
0,ALGO,2023-03-04,0.2338017688611981
0,ALGO,2023-03-05,0.2253711440671966
0,ALGO,2023-03-06,0.2266191828691749
0,ALGO,2023-03-07,0.2265437992552612
0,ALGO,2023-03-08,0.2180943725603312
0,ALGO,2023-03-09,0.2026684936576873
0,ALGO,2023-03-10,0.1935947466036619
0,ALGO,2023-03-11,0.1886158866790956
0,ALGO,2023-03-12,0.1880991412742771
0,ALGO,2023-03-13,0.2026024993437188
0,ALGO,2023-03-14,0.2124843816712341
0,ALGO,2023-03-15,0.2227670081392763
0,ALGO,2023-03-16,0.2061619626002934
0,ALGO,2023-03-17,0.2106746066769111
0,ALGO,2023-03-18,0.2277481177685079
0,ALGO,2023-03-19,0.215980310513889
0,ALGO,2023-03-20,0.2221100412760937
0,ALGO,2023-03-21,0.2111851631725039
0,ALGO,2023-03-22,0.2256606776923878
0,ALGO,2023-03-23,0.2155235250168952
0,ALGO,2023-03-24,0.2214085247606195
0,ALGO,2023-03-25,0.2109799887801258
0,ALGO,2023-03-26,0.2084577870018703
0,ALGO,2023-03-27,0.2117506694580308
0,ALGO,2023-03-28,0.2011822595562751
0,ALGO,2023-03-29,0.2027997347977929
0,ALGO,2023-03-30,0.2354851711484075
0,ALGO,2023-03-31,0.2256343242641005
0,ALGO,2023-04-01,0.2257668265389674
0,ALGO,2023-04-02,0.2233186458898686
0,ALGO,2023-04-03,0.2151060976730748
0,ALGO,2023-04-04,0.2147471378069052
0,ALGO,2023-04-05,0.2182602497715641
0,ALGO,2023-04-06,0.2232722049068864
0,ALGO,2023-04-07,0.218313901618194
0,ALGO,2023-04-08,0.2199450137458732
0,ALGO,2023-04-09,0.216942621246115
0,ALGO,2023-04-10,0.2171325879984067
0,ALGO,2023-04-11,0.2210517000953996
0,ALGO,2023-04-12,0.2200191846138803
0,ALGO,2023-04-13,0.2155047587245885
0,ALGO,2023-04-14,0.2218973629304237
